# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:50:01+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunmid_One_BH_30.par"
#
# ADMBASE::CURV y (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	640 0 4	0	0 -0.0125 0	0 0 2.60224982704002e-05 0 1.08427076126667e-07 0
0	0	0 0 0	640 1 4	0	0 -0.009375 0	0 0 1.95172072097314e-05 0 6.09912725304106e-08 0
0	0	0 0 0	640 2 4	0	0 -0.00625 0	0 0 1.30116302892958e-05 0 2.71075631026997e-08 0
0	0	0 0 0	640 3 4	0	0 -0.003125 0	0 0 6.50586279015394e-06 0 6.77694040641035e-09 0
0	0	0 0 0	640 4 4	0	0 0 0	0 0 0 0 0 0
0	0	0 0 0	640 5 4	0	0 0.003125 0	0 0 -6.50586279015394e-06 0 6.77694040641036e-09 0
0	0	0 0 0	640 6 4	0	0 0.00625 0	0 0 -1.30116302892959e-05 0 2.71075631026997e-08 0
0	0	0 0 0	640 7 4	0	0 0.009375 0	0 0 -1.95172072097314e-05 0 6.09912725304106e-08 0
0	0	0 0 0	640 8 4	0	0 0.0125 0	0 0 -2.60224982704002e-05 0 1.08427076126667e-07 0


