# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 22:00:35+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunfar_One_BH_20.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 20 0	0	5 5 4.9375	1.54889632073389 0 0 1.54889632073389 0 1.54889632073389
0	0	0 0 0	20 20 1	0	5 5 4.940625	1.54875066260477 0 0 1.54875066260477 0 1.54875066260477
0	0	0 0 0	20 20 2	0	5 5 4.94375	1.54860503264651 0 0 1.54860503264651 0 1.54860503264651
0	0	0 0 0	20 20 3	0	5 5 4.946875	1.54845943091558 0 0 1.54845943091558 0 1.54845943091558
0	0	0 0 0	20 20 4	0	5 5 4.95	1.54831385746832 0 0 1.54831385746832 0 1.54831385746832
0	0	0 0 0	20 20 5	0	5 5 4.953125	1.5481683123609 0 0 1.5481683123609 0 1.5481683123609
0	0	0 0 0	20 20 6	0	5 5 4.95625	1.54802279564933 0 0 1.54802279564933 0 1.54802279564933
0	0	0 0 0	20 20 7	0	5 5 4.959375	1.54787730738948 0 0 1.54787730738948 0 1.54787730738948
0	0	0 0 0	20 20 8	0	5 5 4.9625	1.54773184763704 0 0 1.54773184763704 0 1.54773184763704
0	0	0 0 0	20 20 9	0	5 5 4.965625	1.54758641644757 0 0 1.54758641644757 0 1.54758641644757
0	0	0 0 0	20 20 10	0	5 5 4.96875	1.54744101387646 0 0 1.54744101387646 0 1.54744101387646
0	0	0 0 0	20 20 11	0	5 5 4.971875	1.54729563997895 0 0 1.54729563997895 0 1.54729563997895
0	0	0 0 0	20 20 12	0	5 5 4.975	1.54715029481012 0 0 1.54715029481012 0 1.54715029481012
0	0	0 0 0	20 20 13	0	5 5 4.978125	1.5470049784249 0 0 1.5470049784249 0 1.5470049784249
0	0	0 0 0	20 20 14	0	5 5 4.98125	1.54685969087808 0 0 1.54685969087808 0 1.54685969087808
0	0	0 0 0	20 20 15	0	5 5 4.984375	1.54671443222426 0 0 1.54671443222426 0 1.54671443222426
0	0	0 0 0	20 20 16	0	5 5 4.9875	1.54656920251793 0 0 1.54656920251793 0 1.54656920251793
0	0	0 0 0	20 20 17	0	5 5 4.990625	1.54642400181338 0 0 1.54642400181338 0 1.54642400181338
0	0	0 0 0	20 20 18	0	5 5 4.99375	1.5462788301648 0 0 1.5462788301648 0 1.5462788301648
0	0	0 0 0	20 20 19	0	5 5 4.996875	1.54613368762618 0 0 1.54613368762618 0 1.54613368762618
0	0	0 0 0	20 20 20	0	5 5 5	1.54598857425138 0 0 1.54598857425138 0 1.54598857425138
0	0	0 0 0	20 20 21	0	5 5 5.003125	1.54584349009411 0 0 1.54584349009411 0 1.54584349009411
0	0	0 0 0	20 20 22	0	5 5 5.00625	1.54569843520791 0 0 1.54569843520791 0 1.54569843520791
0	0	0 0 0	20 20 23	0	5 5 5.009375	1.5455534096462 0 0 1.5455534096462 0 1.5455534096462
0	0	0 0 0	20 20 24	0	5 5 5.0125	1.54540841346221 0 0 1.54540841346221 0 1.54540841346221
0	0	0 0 0	20 20 25	0	5 5 5.015625	1.54526344670905 0 0 1.54526344670905 0 1.54526344670905
0	0	0 0 0	20 20 26	0	5 5 5.01875	1.54511850943966 0 0 1.54511850943966 0 1.54511850943966
0	0	0 0 0	20 20 27	0	5 5 5.021875	1.54497360170683 0 0 1.54497360170683 0 1.54497360170683
0	0	0 0 0	20 20 28	0	5 5 5.025	1.54482872356322 0 0 1.54482872356322 0 1.54482872356322
0	0	0 0 0	20 20 29	0	5 5 5.028125	1.54468387506132 0 0 1.54468387506132 0 1.54468387506132
0	0	0 0 0	20 20 30	0	5 5 5.03125	1.54453905625347 0 0 1.54453905625347 0 1.54453905625347
0	0	0 0 0	20 20 31	0	5 5 5.034375	1.54439426719186 0 0 1.54439426719186 0 1.54439426719186
0	0	0 0 0	20 20 32	0	5 5 5.0375	1.54424950792855 0 0 1.54424950792855 0 1.54424950792855
0	0	0 0 0	20 20 33	0	5 5 5.040625	1.54410477851543 0 0 1.54410477851543 0 1.54410477851543
0	0	0 0 0	20 20 34	0	5 5 5.04375	1.54396007900424 0 0 1.54396007900424 0 1.54396007900424
0	0	0 0 0	20 20 35	0	5 5 5.046875	1.54381540944659 0 0 1.54381540944659 0 1.54381540944659
0	0	0 0 0	20 20 36	0	5 5 5.05	1.54367076989392 0 0 1.54367076989392 0 1.54367076989392
0	0	0 0 0	20 20 37	0	5 5 5.053125	1.54352616039754 0 0 1.54352616039754 0 1.54352616039754
0	0	0 0 0	20 20 38	0	5 5 5.05625	1.5433815810086 0 0 1.5433815810086 0 1.5433815810086
0	0	0 0 0	20 20 39	0	5 5 5.059375	1.54323703177811 0 0 1.54323703177811 0 1.54323703177811
0	0	0 0 0	20 20 40	0	5 5 5.0625	1.54309251275691 0 0 1.54309251275691 0 1.54309251275691


