# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:07:27+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.3_NoS/1bh_p0.3_nos/manybhnear_1bh_p0.3_nos_16x17x25.par"
#
# ADMCONSTRAINTS::MOMENTUM y (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 0 20	0	3 0.4375 0.5	2.14976608267376e-06 0 0
0	0	0 0 0	20 1 20	0	3 0.440625 0.5	2.14976608267376e-06 0 0
0	0	0 0 0	20 2 20	0	3 0.44375 0.5	3.55776259147733e-11 0 0
0	0	0 0 0	20 3 20	0	3 0.446875 0.5	3.45330725820547e-11 0 0
0	0	0 0 0	20 4 20	0	3 0.45 0.5	3.35520109959186e-11 0 0
0	0	0 0 0	20 5 20	0	3 0.453125 0.5	3.26429942104633e-11 0 0
0	0	0 0 0	20 6 20	0	3 0.45625 0.5	3.17826156018275e-11 0 0
0	0	0 0 0	20 7 20	0	3 0.459375 0.5	3.097599000218e-11 0 0
0	0	0 0 0	20 8 20	0	3 0.4625 0.5	3.02285731168528e-11 0 0
0	0	0 0 0	20 9 20	0	3 0.465625 0.5	2.95266866512378e-11 0 0
0	0	0 0 0	20 10 20	0	3 0.46875 0.5	2.8864845409704e-11 0 0
0	0	0 0 0	20 11 20	0	3 0.471875 0.5	2.82616118008061e-11 0 0
0	0	0 0 0	20 12 20	0	3 0.475 0.5	2.76942947741166e-11 0 0
0	0	0 0 0	20 13 20	0	3 0.478125 0.5	2.71635621981736e-11 0 0
0	0	0 0 0	20 14 20	0	3 0.48125 0.5	2.66808706204935e-11 0 0
0	0	0 0 0	20 15 20	0	3 0.484375 0.5	2.62200588931755e-11 0 0
0	0	0 0 0	20 16 20	0	3 0.4875 0.5	2.57984660110427e-11 0 0
0	0	0 0 0	20 17 20	0	3 0.490625 0.5	2.54160442691997e-11 0 0
0	0	0 0 0	20 18 20	0	3 0.49375 0.5	2.50557117371583e-11 0 0
0	0	0 0 0	20 19 20	0	3 0.496875 0.5	2.47228436724492e-11 0 0
0	0	0 0 0	20 20 20	0	3 0.5 0.5	2.44162628304249e-11 0 0
0	0	0 0 0	20 21 20	0	3 0.503125 0.5	2.41364600289846e-11 0 0
0	0	0 0 0	20 22 20	0	3 0.50625 0.5	2.3879567702563e-11 0 0
0	0	0 0 0	20 23 20	0	3 0.509375 0.5	2.36504715551283e-11 0 0
0	0	0 0 0	20 24 20	0	3 0.5125 0.5	2.34304017160403e-11 0 0
0	0	0 0 0	20 25 20	0	3 0.515625 0.5	2.3231787370584e-11 0 0
0	0	0 0 0	20 26 20	0	3 0.51875 0.5	2.30568363880634e-11 0 0
0	0	0 0 0	20 27 20	0	3 0.521875 0.5	2.28968510818106e-11 0 0
0	0	0 0 0	20 28 20	0	3 0.525 0.5	2.27472559018171e-11 0 0
0	0	0 0 0	20 29 20	0	3 0.528125 0.5	2.26153757179604e-11 0 0
0	0	0 0 0	20 30 20	0	3 0.53125 0.5	2.24914943440513e-11 0 0
0	0	0 0 0	20 31 20	0	3 0.534375 0.5	2.23853383746198e-11 0 0
0	0	0 0 0	20 32 20	0	3 0.5375 0.5	2.22885694275976e-11 0 0
0	0	0 0 0	20 33 20	0	3 0.540625 0.5	2.21985953924309e-11 0 0
0	0	0 0 0	20 34 20	0	3 0.54375 0.5	2.21218729098971e-11 0 0
0	0	0 0 0	20 35 20	0	3 0.546875 0.5	2.20532472491874e-11 0 0
0	0	0 0 0	20 36 20	0	3 0.55 0.5	2.19952268204482e-11 0 0
0	0	0 0 0	20 37 20	0	3 0.553125 0.5	2.19375654794685e-11 0 0
0	0	0 0 0	20 38 20	0	3 0.55625 0.5	2.18894581280327e-11 0 0
0	0	0 0 0	20 39 20	0	3 0.559375 0.5	1.68653709893812e-06 0 0
0	0	0 0 0	20 40 20	0	3 0.5625 0.5	1.68653709893812e-06 0 0


