# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:46:59+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/manybhnear_One_BH_24x25x33.par"
#
# ADMCONSTRAINTS::MOMENTUM z (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	0 -0.0013469204329726 0
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	0 -0.0013469204329726 0
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	0 2.11778762234383e-05 2.37383897641382e-16
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	0 2.51678839301266e-05 6.4395822121653e-17
0	0	0 0 0	20 20 4	0	3 0.5 0.45	0 3.01563820282978e-05 3.10149504578405e-16
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	0 3.64750644279259e-05 1.29933360048228e-16
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	0 4.46003514104759e-05 0
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	0 5.52356394820409e-05 1.26363571925252e-16
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	0 6.94534053956412e-05 7.17477207634906e-17
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	0 8.89531017688235e-05 2.59293053876775e-17
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	0 0.000116557824503788 1.02732966511174e-16
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	0 0.000157241203477059 1.3508789462842e-16
0	0	0 0 0	20 20 12	0	3 0.5 0.475	0 0.000220451746096494 8.79282105564785e-17
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	0 0.00032603144404713 8.45836535885183e-17
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	0 0.000521914123202147 8.0508824855222e-17
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	0 0.000951130769962404 5.74403217047738e-17
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	0 0.0022273878736794 4.8324681690122e-17
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	0 0.0104218645287519 3.09616072983858e-17
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	-nan -nan -nan
0	0	0 0 0	20 20 19	0	3 0.5 0.496875	-nan -nan -nan
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-nan -nan -nan
0	0	0 0 0	20 20 21	0	3 0.5 0.503125	-nan -nan -nan
0	0	0 0 0	20 20 22	0	3 0.5 0.50625	-nan -nan -nan
0	0	0 0 0	20 20 23	0	3 0.5 0.509375	0 -0.0104218645287509 3.09616072983858e-17
0	0	0 0 0	20 20 24	0	3 0.5 0.5125	0 -0.00222738787367946 4.74419784522218e-17
0	0	0 0 0	20 20 25	0	3 0.5 0.515625	0 -0.000951130769961995 5.74403217047738e-17
0	0	0 0 0	20 20 26	0	3 0.5 0.51875	0 -0.000521914123202106 6.41612116723422e-17
0	0	0 0 0	20 20 27	0	3 0.5 0.521875	0 -0.000326031444047564 8.45836535885183e-17
0	0	0 0 0	20 20 28	0	3 0.5 0.525	0 -0.000220451746096566 8.79282105564785e-17
0	0	0 0 0	20 20 29	0	3 0.5 0.528125	0 -0.000157241203477361 1.04431481103898e-16
0	0	0 0 0	20 20 30	0	3 0.5 0.53125	0 -0.000116557824502778 1.02732966511174e-16
0	0	0 0 0	20 20 31	0	3 0.5 0.534375	0 -8.89531017687194e-05 1.51366492726716e-16
0	0	0 0 0	20 20 32	0	3 0.5 0.5375	0 -6.94534053964375e-05 7.17477207634906e-17
0	0	0 0 0	20 20 33	0	3 0.5 0.540625	0 -5.52356394824503e-05 1.26363571925252e-16
0	0	0 0 0	20 20 34	0	3 0.5 0.54375	0 -4.46003514108159e-05 6.34465533705877e-17
0	0	0 0 0	20 20 35	0	3 0.5 0.546875	0 -3.64750644261218e-05 1.29933360048228e-16
0	0	0 0 0	20 20 36	0	3 0.5 0.55	0 -3.01563820281694e-05 1.07330627836182e-16
0	0	0 0 0	20 20 37	0	3 0.5 0.553125	0 -2.51678839312645e-05 6.4395822121653e-17
0	0	0 0 0	20 20 38	0	3 0.5 0.55625	0 -2.11778762240662e-05 2.37383897641382e-16
0	0	0 0 0	20 20 39	0	3 0.5 0.559375	0 0.00134692043297219 1.8515174712316e-16
0	0	0 0 0	20 20 40	0	3 0.5 0.5625	0 0.00134692043297219 1.8515174712316e-16


