# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 06:12:41+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.3/1bh_p0.3_dx0.0015625_near/twopunnear_1bh_p0.3_dx0.0015625_near_20.par"
#
# ADMBASE::METRIC x (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	0 20 20	0	2.96875 0.5 0.5	10.4114951301264 0 0 10.4114951301264 0 10.4114951301264
0	0	0 0 0	1 20 20	0	2.9703125 0.5 0.5	10.4125602386171 0 0 10.4125602386171 0 10.4125602386171
0	0	0 0 0	2 20 20	0	2.971875 0.5 0.5	10.4135462300961 0 0 10.4135462300961 0 10.4135462300961
0	0	0 0 0	3 20 20	0	2.9734375 0.5 0.5	10.414453022925 0 0 10.414453022925 0 10.414453022925
0	0	0 0 0	4 20 20	0	2.975 0.5 0.5	10.4152805402497 0 0 10.4152805402497 0 10.4152805402497
0	0	0 0 0	5 20 20	0	2.9765625 0.5 0.5	10.4160287100129 0 0 10.4160287100129 0 10.4160287100129
0	0	0 0 0	6 20 20	0	2.978125 0.5 0.5	10.4166974649659 0 0 10.4166974649659 0 10.4166974649659
0	0	0 0 0	7 20 20	0	2.9796875 0.5 0.5	10.4172867426794 0 0 10.4172867426794 0 10.4172867426794
0	0	0 0 0	8 20 20	0	2.98125 0.5 0.5	10.4177964855533 0 0 10.4177964855533 0 10.4177964855533
0	0	0 0 0	9 20 20	0	2.9828125 0.5 0.5	10.4182266408266 0 0 10.4182266408266 0 10.4182266408266
0	0	0 0 0	10 20 20	0	2.984375 0.5 0.5	10.4185771605857 0 0 10.4185771605857 0 10.4185771605857
0	0	0 0 0	11 20 20	0	2.9859375 0.5 0.5	10.4188480017725 0 0 10.4188480017725 0 10.4188480017725
0	0	0 0 0	12 20 20	0	2.9875 0.5 0.5	10.4190391261915 0 0 10.4190391261915 0 10.4190391261915
0	0	0 0 0	13 20 20	0	2.9890625 0.5 0.5	10.4191505005161 0 0 10.4191505005161 0 10.4191505005161
0	0	0 0 0	14 20 20	0	2.990625 0.5 0.5	10.4191820962945 0 0 10.4191820962945 0 10.4191820962945
0	0	0 0 0	15 20 20	0	2.9921875 0.5 0.5	10.4191338899544 0 0 10.4191338899544 0 10.4191338899544
0	0	0 0 0	16 20 20	0	2.99375 0.5 0.5	10.4190058628073 0 0 10.4190058628073 0 10.4190058628073
0	0	0 0 0	17 20 20	0	2.9953125 0.5 0.5	10.4187980010517 0 0 10.4187980010517 0 10.4187980010517
0	0	0 0 0	18 20 20	0	2.996875 0.5 0.5	10.4185102957761 0 0 10.4185102957761 0 10.4185102957761
0	0	0 0 0	19 20 20	0	2.9984375 0.5 0.5	10.4181427429604 0 0 10.4181427429604 0 10.4181427429604
0	0	0 0 0	20 20 20	0	3 0.5 0.5	10.4176953434775 0 0 10.4176953434775 0 10.4176953434775
0	0	0 0 0	21 20 20	0	3.0015625 0.5 0.5	10.4171681030934 0 0 10.4171681030934 0 10.4171681030934
0	0	0 0 0	22 20 20	0	3.003125 0.5 0.5	10.4165610324667 0 0 10.4165610324667 0 10.4165610324667
0	0	0 0 0	23 20 20	0	3.0046875 0.5 0.5	10.415874147148 0 0 10.415874147148 0 10.415874147148
0	0	0 0 0	24 20 20	0	3.00625 0.5 0.5	10.4151074675773 0 0 10.4151074675773 0 10.4151074675773
0	0	0 0 0	25 20 20	0	3.0078125 0.5 0.5	10.4142610190818 0 0 10.4142610190818 0 10.4142610190818
0	0	0 0 0	26 20 20	0	3.009375 0.5 0.5	10.4133348318722 0 0 10.4133348318722 0 10.4133348318722
0	0	0 0 0	27 20 20	0	3.0109375 0.5 0.5	10.4123289410387 0 0 10.4123289410387 0 10.4123289410387
0	0	0 0 0	28 20 20	0	3.0125 0.5 0.5	10.4112433865462 0 0 10.4112433865462 0 10.4112433865462
0	0	0 0 0	29 20 20	0	3.0140625 0.5 0.5	10.4100782132281 0 0 10.4100782132281 0 10.4100782132281
0	0	0 0 0	30 20 20	0	3.015625 0.5 0.5	10.4088334707806 0 0 10.4088334707806 0 10.4088334707806
0	0	0 0 0	31 20 20	0	3.0171875 0.5 0.5	10.4075092137547 0 0 10.4075092137547 0 10.4075092137547
0	0	0 0 0	32 20 20	0	3.01875 0.5 0.5	10.406105501549 0 0 10.406105501549 0 10.406105501549
0	0	0 0 0	33 20 20	0	3.0203125 0.5 0.5	10.4046223984005 0 0 10.4046223984005 0 10.4046223984005
0	0	0 0 0	34 20 20	0	3.021875 0.5 0.5	10.4030599733754 0 0 10.4030599733754 0 10.4030599733754
0	0	0 0 0	35 20 20	0	3.0234375 0.5 0.5	10.401418300359 0 0 10.401418300359 0 10.401418300359
0	0	0 0 0	36 20 20	0	3.025 0.5 0.5	10.3996974580444 0 0 10.3996974580444 0 10.3996974580444
0	0	0 0 0	37 20 20	0	3.0265625 0.5 0.5	10.3978975299214 0 0 10.3978975299214 0 10.3978975299214
0	0	0 0 0	38 20 20	0	3.028125 0.5 0.5	10.3960186042639 0 0 10.3960186042639 0 10.3960186042639
0	0	0 0 0	39 20 20	0	3.0296875 0.5 0.5	10.3940607741165 0 0 10.3940607741165 0 10.3940607741165
0	0	0 0 0	40 20 20	0	3.03125 0.5 0.5	10.3920241372813 0 0 10.3920241372813 0 10.3920241372813


