# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 28 2016 at 05:42:06+0000
# parameter filename: "manybhnear_1bh_static_out1D_0.1_dx0.0015625_near_12x13x17.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 20 0	0	3 0.5 0.46875	8.94786935146455 0 0 8.94786935146455 0 8.94786935146455
0	0	0 0 0	20 20 1	0	3 0.5 0.4703125	8.92436802498236 0 0 8.92436802498236 0 8.92436802498236
0	0	0 0 0	20 20 2	0	3 0.5 0.471875	8.9009447860059 0 0 8.9009447860059 0 8.9009447860059
0	0	0 0 0	20 20 3	0	3 0.5 0.4734375	8.8775996209878 0 0 8.8775996209878 0 8.8775996209878
0	0	0 0 0	20 20 4	0	3 0.5 0.475	8.85433251129743 0 0 8.85433251129743 0 8.85433251129743
0	0	0 0 0	20 20 5	0	3 0.5 0.4765625	8.83114343330767 0 0 8.83114343330767 0 8.83114343330767
0	0	0 0 0	20 20 6	0	3 0.5 0.478125	8.80803235848089 0 0 8.80803235848089 0 8.80803235848089
0	0	0 0 0	20 20 7	0	3 0.5 0.4796875	8.78499925345396 0 0 8.78499925345396 0 8.78499925345396
0	0	0 0 0	20 20 8	0	3 0.5 0.48125	8.76204408012243 0 0 8.76204408012243 0 8.76204408012243
0	0	0 0 0	20 20 9	0	3 0.5 0.4828125	8.73916679572379 0 0 8.73916679572379 0 8.73916679572379
0	0	0 0 0	20 20 10	0	3 0.5 0.484375	8.71636735291986 0 0 8.71636735291986 0 8.71636735291986
0	0	0 0 0	20 20 11	0	3 0.5 0.4859375	8.69364569987829 0 0 8.69364569987829 0 8.69364569987829
0	0	0 0 0	20 20 12	0	3 0.5 0.4875	8.67100178035319 0 0 8.67100178035319 0 8.67100178035319
0	0	0 0 0	20 20 13	0	3 0.5 0.4890625	8.6484355337649 0 0 8.6484355337649 0 8.6484355337649
0	0	0 0 0	20 20 14	0	3 0.5 0.490625	8.62594689527879 0 0 8.62594689527879 0 8.62594689527879
0	0	0 0 0	20 20 15	0	3 0.5 0.4921875	8.60353579588331 0 0 8.60353579588331 0 8.60353579588331
0	0	0 0 0	20 20 16	0	3 0.5 0.49375	8.58120216246709 0 0 8.58120216246709 0 8.58120216246709
0	0	0 0 0	20 20 17	0	3 0.5 0.4953125	8.55894591789518 0 0 8.55894591789518 0 8.55894591789518
0	0	0 0 0	20 20 18	0	3 0.5 0.496875	8.53676698108445 0 0 8.53676698108445 0 8.53676698108445
0	0	0 0 0	20 20 19	0	3 0.5 0.4984375	8.51466526707808 0 0 8.51466526707808 0 8.51466526707808
0	0	0 0 0	20 20 20	0	3 0.5 0.5	8.49264068711928 0 0 8.49264068711928 0 8.49264068711928
0	0	0 0 0	20 20 21	0	3 0.5 0.5015625	8.47069314872402 0 0 8.47069314872402 0 8.47069314872402
0	0	0 0 0	20 20 22	0	3 0.5 0.503125	8.448822555753 0 0 8.448822555753 0 8.448822555753
0	0	0 0 0	20 20 23	0	3 0.5 0.5046875	8.42702880848278 0 0 8.42702880848278 0 8.42702880848278
0	0	0 0 0	20 20 24	0	3 0.5 0.50625	8.40531180367598 0 0 8.40531180367598 0 8.40531180367598
0	0	0 0 0	20 20 25	0	3 0.5 0.5078125	8.38367143465076 0 0 8.38367143465076 0 8.38367143465076
0	0	0 0 0	20 20 26	0	3 0.5 0.509375	8.36210759134932 0 0 8.36210759134932 0 8.36210759134932
0	0	0 0 0	20 20 27	0	3 0.5 0.5109375	8.34062016040567 0 0 8.34062016040567 0 8.34062016040567
0	0	0 0 0	20 20 28	0	3 0.5 0.5125	8.31920902521256 0 0 8.31920902521256 0 8.31920902521256
0	0	0 0 0	20 20 29	0	3 0.5 0.5140625	8.29787406598754 0 0 8.29787406598754 0 8.29787406598754
0	0	0 0 0	20 20 30	0	3 0.5 0.515625	8.27661515983825 0 0 8.27661515983825 0 8.27661515983825
0	0	0 0 0	20 20 31	0	3 0.5 0.5171875	8.25543218082684 0 0 8.25543218082684 0 8.25543218082684
0	0	0 0 0	20 20 32	0	3 0.5 0.51875	8.23432500003364 0 0 8.23432500003364 0 8.23432500003364
0	0	0 0 0	20 20 33	0	3 0.5 0.5203125	8.21329348562001 0 0 8.21329348562001 0 8.21329348562001
0	0	0 0 0	20 20 34	0	3 0.5 0.521875	8.19233750289033 0 0 8.19233750289033 0 8.19233750289033
0	0	0 0 0	20 20 35	0	3 0.5 0.5234375	8.17145691435328 0 0 8.17145691435328 0 8.17145691435328
0	0	0 0 0	20 20 36	0	3 0.5 0.525	8.15065157978229 0 0 8.15065157978229 0 8.15065157978229
0	0	0 0 0	20 20 37	0	3 0.5 0.5265625	8.12992135627522 0 0 8.12992135627522 0 8.12992135627522
0	0	0 0 0	20 20 38	0	3 0.5 0.528125	8.10926609831323 0 0 8.10926609831323 0 8.10926609831323
0	0	0 0 0	20 20 39	0	3 0.5 0.5296875	8.08868565781889 0 0 8.08868565781889 0 8.08868565781889
0	0	0 0 0	20 20 40	0	3 0.5 0.53125	8.06817988421357 0 0 8.06817988421357 0 8.06817988421357


