# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 09 2016 at 22:14:10+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Convergence/1bh_p0.1_dx0.0015625_near_convergence_smallergrid/manybhnear_1bh_p0.1_dx0.0015625_near_convergence_smallergrid_16x17x25.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 40 40	0	2.9375 0.5 0.5	4.41551385704992e-06
0	0	0 0 0	1 40 40	0	2.9390625 0.5 0.5	4.41551385704992e-06
0	0	0 0 0	2 40 40	0	2.940625 0.5 0.5	6.30588968628804e-11
0	0	0 0 0	3 40 40	0	2.9421875 0.5 0.5	1.30549593813263e-10
0	0	0 0 0	4 40 40	0	2.94375 0.5 0.5	-1.4400553189145e-10
0	0	0 0 0	5 40 40	0	2.9453125 0.5 0.5	-3.14156938039777e-10
0	0	0 0 0	6 40 40	0	2.946875 0.5 0.5	-2.17601576080889e-10
0	0	0 0 0	7 40 40	0	2.9484375 0.5 0.5	1.80028144084951e-10
0	0	0 0 0	8 40 40	0	2.95 0.5 0.5	-4.41398265160764e-10
0	0	0 0 0	9 40 40	0	2.9515625 0.5 0.5	-9.97357946013952e-11
0	0	0 0 0	10 40 40	0	2.953125 0.5 0.5	-3.99552339618806e-10
0	0	0 0 0	11 40 40	0	2.9546875 0.5 0.5	3.42115370321333e-11
0	0	0 0 0	12 40 40	0	2.95625 0.5 0.5	-1.69866565149883e-10
0	0	0 0 0	13 40 40	0	2.9578125 0.5 0.5	5.18540158728209e-12
0	0	0 0 0	14 40 40	0	2.959375 0.5 0.5	-1.97268996439664e-10
0	0	0 0 0	15 40 40	0	2.9609375 0.5 0.5	-4.14266943774173e-10
0	0	0 0 0	16 40 40	0	2.9625 0.5 0.5	-2.77765903864986e-10
0	0	0 0 0	17 40 40	0	2.9640625 0.5 0.5	-1.59403172519251e-10
0	0	0 0 0	18 40 40	0	2.965625 0.5 0.5	3.76809164653966e-10
0	0	0 0 0	19 40 40	0	2.9671875 0.5 0.5	-4.60372211272958e-11
0	0	0 0 0	20 40 40	0	2.96875 0.5 0.5	-1.49945251852988e-10
0	0	0 0 0	21 40 40	0	2.9703125 0.5 0.5	-1.27610240408492e-10
0	0	0 0 0	22 40 40	0	2.971875 0.5 0.5	-4.56907117934828e-11
0	0	0 0 0	23 40 40	0	2.9734375 0.5 0.5	-7.78401333190529e-11
0	0	0 0 0	24 40 40	0	2.975 0.5 0.5	-3.3510417476925e-10
0	0	0 0 0	25 40 40	0	2.9765625 0.5 0.5	4.56869585132441e-10
0	0	0 0 0	26 40 40	0	2.978125 0.5 0.5	-1.93927761219306e-11
0	0	0 0 0	27 40 40	0	2.9796875 0.5 0.5	-1.87762982950274e-10
0	0	0 0 0	28 40 40	0	2.98125 0.5 0.5	3.09880552370589e-10
0	0	0 0 0	29 40 40	0	2.9828125 0.5 0.5	-2.09237895943976e-10
0	0	0 0 0	30 40 40	0	2.984375 0.5 0.5	-7.93330981962125e-11
0	0	0 0 0	31 40 40	0	2.9859375 0.5 0.5	-1.17557277063904e-10
0	0	0 0 0	32 40 40	0	2.9875 0.5 0.5	-1.93508472808891e-10
0	0	0 0 0	33 40 40	0	2.9890625 0.5 0.5	5.10761028360996e-10
0	0	0 0 0	34 40 40	0	2.990625 0.5 0.5	-3.53604228146495e-12
0	0	0 0 0	35 40 40	0	2.9921875 0.5 0.5	-2.02348674491551e-10
0	0	0 0 0	36 40 40	0	2.99375 0.5 0.5	2.70447814750691e-10
0	0	0 0 0	37 40 40	0	2.9953125 0.5 0.5	-2.85118788821703e-10
0	0	0 0 0	38 40 40	0	2.996875 0.5 0.5	2.37115688412129e-11
0	0	0 0 0	39 40 40	0	2.9984375 0.5 0.5	-8.50513285559178e-11
0	0	0 0 0	40 40 40	0	3 0.5 0.5	-6.59827277993581e-11
0	0	0 0 0	41 40 40	0	3.0015625 0.5 0.5	-8.50513285559178e-11
0	0	0 0 0	42 40 40	0	3.003125 0.5 0.5	2.37115688412129e-11
0	0	0 0 0	43 40 40	0	3.0046875 0.5 0.5	-2.85118788821703e-10
0	0	0 0 0	44 40 40	0	3.00625 0.5 0.5	2.70447814750691e-10
0	0	0 0 0	45 40 40	0	3.0078125 0.5 0.5	-2.02348674491551e-10
0	0	0 0 0	46 40 40	0	3.009375 0.5 0.5	-3.53604228146495e-12
0	0	0 0 0	47 40 40	0	3.0109375 0.5 0.5	5.10761028360996e-10
0	0	0 0 0	48 40 40	0	3.0125 0.5 0.5	-1.93508472808891e-10
0	0	0 0 0	49 40 40	0	3.0140625 0.5 0.5	-1.17557277063904e-10
0	0	0 0 0	50 40 40	0	3.015625 0.5 0.5	-7.93330981962125e-11
0	0	0 0 0	51 40 40	0	3.0171875 0.5 0.5	-2.09237895943976e-10
0	0	0 0 0	52 40 40	0	3.01875 0.5 0.5	3.09880552370589e-10
0	0	0 0 0	53 40 40	0	3.0203125 0.5 0.5	-1.87762982950274e-10
0	0	0 0 0	54 40 40	0	3.021875 0.5 0.5	-1.93927761219306e-11
0	0	0 0 0	55 40 40	0	3.0234375 0.5 0.5	4.56869585132441e-10
0	0	0 0 0	56 40 40	0	3.025 0.5 0.5	-3.3510417476925e-10
0	0	0 0 0	57 40 40	0	3.0265625 0.5 0.5	-7.78401333190529e-11
0	0	0 0 0	58 40 40	0	3.028125 0.5 0.5	-4.56907117934828e-11
0	0	0 0 0	59 40 40	0	3.0296875 0.5 0.5	-1.27610240408492e-10
0	0	0 0 0	60 40 40	0	3.03125 0.5 0.5	-1.49945251852988e-10
0	0	0 0 0	61 40 40	0	3.0328125 0.5 0.5	-4.60372211272958e-11
0	0	0 0 0	62 40 40	0	3.034375 0.5 0.5	3.76809164653966e-10
0	0	0 0 0	63 40 40	0	3.0359375 0.5 0.5	-1.59403172519251e-10
0	0	0 0 0	64 40 40	0	3.0375 0.5 0.5	-2.77765903864986e-10
0	0	0 0 0	65 40 40	0	3.0390625 0.5 0.5	-4.14266943774173e-10
0	0	0 0 0	66 40 40	0	3.040625 0.5 0.5	-1.97268996439664e-10
0	0	0 0 0	67 40 40	0	3.0421875 0.5 0.5	5.18540158728209e-12
0	0	0 0 0	68 40 40	0	3.04375 0.5 0.5	-1.69866565149883e-10
0	0	0 0 0	69 40 40	0	3.0453125 0.5 0.5	3.42115370321333e-11
0	0	0 0 0	70 40 40	0	3.046875 0.5 0.5	-3.99552339618806e-10
0	0	0 0 0	71 40 40	0	3.0484375 0.5 0.5	-9.97357946013952e-11
0	0	0 0 0	72 40 40	0	3.05 0.5 0.5	-4.41398265160764e-10
0	0	0 0 0	73 40 40	0	3.0515625 0.5 0.5	1.80028144084951e-10
