# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:08:38+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.1_NoS/1bh_p0.1_nos/manybhfar_1bh_p0.1_nos_16x17x25.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 20 0	0	5 5 4.9375	1.30483415565301 0 0 1.30483415565301 0 1.30483415565301
0	0	0 0 0	20 20 1	0	5 5 4.940625	1.30473716708868 0 0 1.30473716708868 0 1.30473716708868
0	0	0 0 0	20 20 2	0	5 5 4.94375	1.3046402066514 0 0 1.3046402066514 0 1.3046402066514
0	0	0 0 0	20 20 3	0	5 5 4.946875	1.30454327437516 0 0 1.30454327437516 0 1.30454327437516
0	0	0 0 0	20 20 4	0	5 5 4.95	1.30444637029382 0 0 1.30444637029382 0 1.30444637029382
0	0	0 0 0	20 20 5	0	5 5 4.953125	1.30434949444113 0 0 1.30434949444113 0 1.30434949444113
0	0	0 0 0	20 20 6	0	5 5 4.95625	1.30425264685071 0 0 1.30425264685071 0 1.30425264685071
0	0	0 0 0	20 20 7	0	5 5 4.959375	1.30415582755605 0 0 1.30415582755605 0 1.30415582755605
0	0	0 0 0	20 20 8	0	5 5 4.9625	1.30405903659054 0 0 1.30405903659054 0 1.30405903659054
0	0	0 0 0	20 20 9	0	5 5 4.965625	1.30396227398743 0 0 1.30396227398743 0 1.30396227398743
0	0	0 0 0	20 20 10	0	5 5 4.96875	1.30386553977987 0 0 1.30386553977987 0 1.30386553977987
0	0	0 0 0	20 20 11	0	5 5 4.971875	1.30376883400087 0 0 1.30376883400087 0 1.30376883400087
0	0	0 0 0	20 20 12	0	5 5 4.975	1.30367215668333 0 0 1.30367215668333 0 1.30367215668333
0	0	0 0 0	20 20 13	0	5 5 4.978125	1.30357550786004 0 0 1.30357550786004 0 1.30357550786004
0	0	0 0 0	20 20 14	0	5 5 4.98125	1.30347888756365 0 0 1.30347888756365 0 1.30347888756365
0	0	0 0 0	20 20 15	0	5 5 4.984375	1.30338229582671 0 0 1.30338229582671 0 1.30338229582671
0	0	0 0 0	20 20 16	0	5 5 4.9875	1.30328573268163 0 0 1.30328573268163 0 1.30328573268163
0	0	0 0 0	20 20 17	0	5 5 4.990625	1.30318919816073 0 0 1.30318919816073 0 1.30318919816073
0	0	0 0 0	20 20 18	0	5 5 4.99375	1.30309269229619 0 0 1.30309269229619 0 1.30309269229619
0	0	0 0 0	20 20 19	0	5 5 4.996875	1.30299621512008 0 0 1.30299621512008 0 1.30299621512008
0	0	0 0 0	20 20 20	0	5 5 5	1.30289976666434 0 0 1.30289976666434 0 1.30289976666434
0	0	0 0 0	20 20 21	0	5 5 5.003125	1.30280334696082 0 0 1.30280334696082 0 1.30280334696082
0	0	0 0 0	20 20 22	0	5 5 5.00625	1.30270695604123 0 0 1.30270695604123 0 1.30270695604123
0	0	0 0 0	20 20 23	0	5 5 5.009375	1.30261059393716 0 0 1.30261059393716 0 1.30261059393716
0	0	0 0 0	20 20 24	0	5 5 5.0125	1.3025142606801 0 0 1.3025142606801 0 1.3025142606801
0	0	0 0 0	20 20 25	0	5 5 5.015625	1.30241795630141 0 0 1.30241795630141 0 1.30241795630141
0	0	0 0 0	20 20 26	0	5 5 5.01875	1.30232168083233 0 0 1.30232168083233 0 1.30232168083233
0	0	0 0 0	20 20 27	0	5 5 5.021875	1.30222543430401 0 0 1.30222543430401 0 1.30222543430401
0	0	0 0 0	20 20 28	0	5 5 5.025	1.30212921674746 0 0 1.30212921674746 0 1.30212921674746
0	0	0 0 0	20 20 29	0	5 5 5.028125	1.30203302819357 0 0 1.30203302819357 0 1.30203302819357
0	0	0 0 0	20 20 30	0	5 5 5.03125	1.30193686867313 0 0 1.30193686867313 0 1.30193686867313
0	0	0 0 0	20 20 31	0	5 5 5.034375	1.3018407382168 0 0 1.3018407382168 0 1.3018407382168
0	0	0 0 0	20 20 32	0	5 5 5.0375	1.30174463685515 0 0 1.30174463685515 0 1.30174463685515
0	0	0 0 0	20 20 33	0	5 5 5.040625	1.30164856461861 0 0 1.30164856461861 0 1.30164856461861
0	0	0 0 0	20 20 34	0	5 5 5.04375	1.3015525215375 0 0 1.3015525215375 0 1.3015525215375
0	0	0 0 0	20 20 35	0	5 5 5.046875	1.30145650764203 0 0 1.30145650764203 0 1.30145650764203
0	0	0 0 0	20 20 36	0	5 5 5.05	1.3013605229623 0 0 1.3013605229623 0 1.3013605229623
0	0	0 0 0	20 20 37	0	5 5 5.053125	1.30126456752829 0 0 1.30126456752829 0 1.30126456752829
0	0	0 0 0	20 20 38	0	5 5 5.05625	1.30116864136986 0 0 1.30116864136986 0 1.30116864136986
0	0	0 0 0	20 20 39	0	5 5 5.059375	1.30107274451676 0 0 1.30107274451676 0 1.30107274451676
0	0	0 0 0	20 20 40	0	5 5 5.0625	1.30097687699864 0 0 1.30097687699864 0 1.30097687699864


