# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:10:35+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/twopunmid_1bh_p0.5_nos_20.par"
#
# ADMBASE::DTLAPSE z (admbase-dtlapse)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:dtalp
0	0	0 0 0	640 4 0	0	0 0 -0.0125	0
0	0	0 0 0	640 4 1	0	0 0 -0.009375	0
0	0	0 0 0	640 4 2	0	0 0 -0.00625	0
0	0	0 0 0	640 4 3	0	0 0 -0.003125	-6.93889390390723e-18
0	0	0 0 0	640 4 4	0	0 0 0	6.93889390390723e-18
0	0	0 0 0	640 4 5	0	0 0 0.003125	-6.93889390390723e-18
0	0	0 0 0	640 4 6	0	0 0 0.00625	0
0	0	0 0 0	640 4 7	0	0 0 0.009375	0
0	0	0 0 0	640 4 8	0	0 0 0.0125	0


