# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 22 2016 at 16:47:49+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx0.3/twopunnear_2bh_m1m2_0.47656_py_sx0.3_40.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	10 0 10	0	3 0.06875 0.1	0.00290257864405696
0	0	0 0 0	10 1 10	0	3 0.071875 0.1	0.00290257864405696
0	0	0 0 0	10 2 10	0	3 0.075 0.1	-5.07601713700678e-06
0	0	0 0 0	10 3 10	0	3 0.078125 0.1	-4.13382082375957e-06
0	0	0 0 0	10 4 10	0	3 0.08125 0.1	-3.41606278486672e-06
0	0	0 0 0	10 5 10	0	3 0.084375 0.1	-2.88264166214969e-06
0	0	0 0 0	10 6 10	0	3 0.0875 0.1	-2.49781661082471e-06
0	0	0 0 0	10 7 10	0	3 0.090625 0.1	-2.23036951424449e-06
0	0	0 0 0	10 8 10	0	3 0.09375 0.1	-2.05343660308888e-06
0	0	0 0 0	10 9 10	0	3 0.096875 0.1	-1.94417597387808e-06
0	0	0 0 0	10 10 10	0	3 0.1 0.1	-1.88355441999022e-06
0	0	0 0 0	10 11 10	0	3 0.103125 0.1	-1.85594962426316e-06
0	0	0 0 0	10 12 10	0	3 0.10625 0.1	-1.84871549097076e-06
0	0	0 0 0	10 13 10	0	3 0.109375 0.1	-1.85185775991581e-06
0	0	0 0 0	10 14 10	0	3 0.1125 0.1	-1.85769344229758e-06
0	0	0 0 0	10 15 10	0	3 0.115625 0.1	-1.86044670535956e-06
0	0	0 0 0	10 16 10	0	3 0.11875 0.1	-1.85604054231403e-06
0	0	0 0 0	10 17 10	0	3 0.121875 0.1	-1.84170284189822e-06
0	0	0 0 0	10 18 10	0	3 0.125 0.1	-1.8158962089565e-06
0	0	0 0 0	10 19 10	0	3 0.128125 0.1	0.00141344086328687
0	0	0 0 0	10 20 10	0	3 0.13125 0.1	0.00141344086328687


