# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 15 2016 at 22:29:36+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1_convergence/1bh_p0.3_dx0.003125_convergence/manybhnear_1bh_p0.3_dx0.003125_convergence_32x33x41.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	2.96875 0.5 0.5	4.17619446313857e-06
0	0	0 0 0	1 20 20	0	2.9703125 0.5 0.5	4.17619446313857e-06
0	0	0 0 0	2 20 20	0	2.971875 0.5 0.5	-1.18588819320031e-11
0	0	0 0 0	3 20 20	0	2.9734375 0.5 0.5	1.26882961602737e-11
0	0	0 0 0	4 20 20	0	2.975 0.5 0.5	-1.1732368462164e-10
0	0	0 0 0	5 20 20	0	2.9765625 0.5 0.5	1.26033045545065e-10
0	0	0 0 0	6 20 20	0	2.978125 0.5 0.5	2.69209163641926e-10
0	0	0 0 0	7 20 20	0	2.9796875 0.5 0.5	-2.80556730625214e-10
0	0	0 0 0	8 20 20	0	2.98125 0.5 0.5	1.88667988784003e-10
0	0	0 0 0	9 20 20	0	2.9828125 0.5 0.5	2.49532393879759e-10
0	0	0 0 0	10 20 20	0	2.984375 0.5 0.5	-4.9554726901796e-10
0	0	0 0 0	11 20 20	0	2.9859375 0.5 0.5	-1.18477955311086e-10
0	0	0 0 0	12 20 20	0	2.9875 0.5 0.5	8.08058554964408e-11
0	0	0 0 0	13 20 20	0	2.9890625 0.5 0.5	-2.0173152081096e-10
0	0	0 0 0	14 20 20	0	2.990625 0.5 0.5	-2.17369222014346e-10
0	0	0 0 0	15 20 20	0	2.9921875 0.5 0.5	-1.69683118250719e-10
0	0	0 0 0	16 20 20	0	2.99375 0.5 0.5	-3.33073459004435e-10
0	0	0 0 0	17 20 20	0	2.9953125 0.5 0.5	-2.32608662800032e-10
0	0	0 0 0	18 20 20	0	2.996875 0.5 0.5	-1.27860223277099e-10
0	0	0 0 0	19 20 20	0	2.9984375 0.5 0.5	-1.39242403631584e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-2.99586400392265e-10
0	0	0 0 0	21 20 20	0	3.0015625 0.5 0.5	-1.39242403631584e-10
0	0	0 0 0	22 20 20	0	3.003125 0.5 0.5	-1.27860223277099e-10
0	0	0 0 0	23 20 20	0	3.0046875 0.5 0.5	-2.32608662800032e-10
0	0	0 0 0	24 20 20	0	3.00625 0.5 0.5	-3.33073459004435e-10
0	0	0 0 0	25 20 20	0	3.0078125 0.5 0.5	-1.69683118250719e-10
0	0	0 0 0	26 20 20	0	3.009375 0.5 0.5	-2.17369222014346e-10
0	0	0 0 0	27 20 20	0	3.0109375 0.5 0.5	-2.0173152081096e-10
0	0	0 0 0	28 20 20	0	3.0125 0.5 0.5	8.08058554964408e-11
0	0	0 0 0	29 20 20	0	3.0140625 0.5 0.5	-1.18477955311086e-10
0	0	0 0 0	30 20 20	0	3.015625 0.5 0.5	-4.9554726901796e-10
0	0	0 0 0	31 20 20	0	3.0171875 0.5 0.5	2.49532393879759e-10
0	0	0 0 0	32 20 20	0	3.01875 0.5 0.5	1.88667988784003e-10
0	0	0 0 0	33 20 20	0	3.0203125 0.5 0.5	-2.80556730625214e-10
0	0	0 0 0	34 20 20	0	3.021875 0.5 0.5	2.69209163641926e-10
0	0	0 0 0	35 20 20	0	3.0234375 0.5 0.5	1.26033045545065e-10
0	0	0 0 0	36 20 20	0	3.025 0.5 0.5	-1.1732368462164e-10
0	0	0 0 0	37 20 20	0	3.0265625 0.5 0.5	1.26882961602737e-11
0	0	0 0 0	38 20 20	0	3.028125 0.5 0.5	-1.18588819320031e-11
0	0	0 0 0	39 20 20	0	3.0296875 0.5 0.5	4.17619446313857e-06
0	0	0 0 0	40 20 20	0	3.03125 0.5 0.5	4.17619446313857e-06


