# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:10:21+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/manybhnear_1bh_p0.5_nos_32x33x41.par"
#
# ADMBASE::CURV x (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	0 20 20	0	2.9375 0.5 0.5	-0.0441187744648232 0.352950195718585 0.352950195718585 0.0220593872324116 -0.0217200120442206 0.0220593872324116
0	0	0 0 0	1 20 20	0	2.940625 0.5 0.5	-0.0419162303454633 0.352978781856532 0.352978781856532 0.0209581151727316 -0.0206666826555961 0.0209581151727316
0	0	0 0 0	2 20 20	0	2.94375 0.5 0.5	-0.0397131228464908 0.353005536413252 0.353005536413252 0.0198565614232454 -0.0196083927030968 0.0198565614232454
0	0	0 0 0	3 20 20	0	2.946875 0.5 0.5	-0.0375094922844077 0.353030515617954 0.353030515617954 0.0187547461422038 -0.0185453861192174 0.0187547461422038
0	0	0 0 0	4 20 20	0	2.95 0.5 0.5	-0.0353053773060768 0.35305377306077 0.35305377306077 0.0176526886530384 -0.0174779095574638 0.0176526886530384
0	0	0 0 0	5 20 20	0	2.953125 0.5 0.5	-0.0331008149651343 0.353075359628099 0.353075359628099 0.0165504074825671 -0.0164062122576464 0.0165504074825671
0	0	0 0 0	6 20 20	0	2.95625 0.5 0.5	-0.0308958408010937 0.35309532344107 0.35309532344107 0.0154479204005469 -0.0153305459084354 0.0154479204005469
0	0	0 0 0	7 20 20	0	2.959375 0.5 0.5	-0.0286904889210232 0.353113709797209 0.353113709797209 0.0143452444605116 -0.0142511645073187 0.0143452444605116
0	0	0 0 0	8 20 20	0	2.9625 0.5 0.5	-0.0264847920836562 0.353130561115416 0.353130561115416 0.0132423960418281 -0.0131683242181013 0.0132423960418281
0	0	0 0 0	9 20 20	0	2.965625 0.5 0.5	-0.024278781785798 0.353145916884336 0.353145916884336 0.012139390892899 -0.0120822832260882 0.012139390892899
0	0	0 0 0	10 20 20	0	2.96875 0.5 0.5	-0.0220724883508881 0.353159813614209 0.353159813614209 0.011036244175444 -0.0109933015911038 0.011036244175444
0	0	0 0 0	11 20 20	0	2.971875 0.5 0.5	-0.0198659410195655 0.353172284792272 0.353172284792272 0.00993297050978272 -0.00990164109849452 0.00993297050978272
0	0	0 0 0	12 20 20	0	2.975 0.5 0.5	-0.0176591680420897 0.353183360841795 0.353183360841795 0.00882958402104484 -0.00880756510827415 0.00882958402104484
0	0	0 0 0	13 20 20	0	2.978125 0.5 0.5	-0.0154521967724604 0.353193069084808 0.353193069084808 0.00772609838623021 -0.00771133840256904 0.00772609838623021
0	0	0 0 0	14 20 20	0	2.98125 0.5 0.5	-0.0132450537640721 0.353201433708593 0.353201433708593 0.00662252688203605 -0.00661322703152297 0.00662252688203605
0	0	0 0 0	15 20 20	0	2.984375 0.5 0.5	-0.0110377648667492 0.353208475735975 0.353208475735975 0.00551888243337461 -0.00551349815782985 0.00551888243337461
0	0	0 0 0	16 20 20	0	2.9875 0.5 0.5	-0.00883035532498725 0.353214212999485 0.353214212999485 0.00441517766249363 -0.00441241990005609 0.00441517766249363
0	0	0 0 0	17 20 20	0	2.990625 0.5 0.5	-0.0066228498772391 0.353218660119422 0.353218660119422 0.00331142493861955 -0.00331026117492524 0.00331142493861955
0	0	0 0 0	18 20 20	0	2.99375 0.5 0.5	-0.00441527285607318 0.35322182848585 0.35322182848585 0.00220763642803659 -0.00220729153873367 0.00220763642803659
0	0	0 0 0	19 20 20	0	2.996875 0.5 0.5	-0.00220764828902845 0.353223726244571 0.353223726244571 0.00110382414451422 -0.00110378102806781 0.00110382414451422
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0 0.353224358287088 0.353224358287088 0 0 0
0	0	0 0 0	21 20 20	0	3.003125 0.5 0.5	0.00220764828902845 0.353223726244571 0.353223726244571 -0.00110382414451422 0.00110378102806781 -0.00110382414451422
0	0	0 0 0	22 20 20	0	3.00625 0.5 0.5	0.00441527285607318 0.35322182848585 0.35322182848585 -0.00220763642803659 0.00220729153873367 -0.00220763642803659
0	0	0 0 0	23 20 20	0	3.009375 0.5 0.5	0.0066228498772391 0.353218660119422 0.353218660119422 -0.00331142493861955 0.00331026117492524 -0.00331142493861955
0	0	0 0 0	24 20 20	0	3.0125 0.5 0.5	0.00883035532498725 0.353214212999485 0.353214212999485 -0.00441517766249363 0.00441241990005609 -0.00441517766249363
0	0	0 0 0	25 20 20	0	3.015625 0.5 0.5	0.0110377648667492 0.353208475735975 0.353208475735975 -0.00551888243337461 0.00551349815782985 -0.00551888243337461
0	0	0 0 0	26 20 20	0	3.01875 0.5 0.5	0.0132450537640721 0.353201433708593 0.353201433708593 -0.00662252688203605 0.00661322703152297 -0.00662252688203605
0	0	0 0 0	27 20 20	0	3.021875 0.5 0.5	0.0154521967724604 0.353193069084808 0.353193069084808 -0.00772609838623021 0.00771133840256904 -0.00772609838623021
0	0	0 0 0	28 20 20	0	3.025 0.5 0.5	0.0176591680420897 0.353183360841795 0.353183360841795 -0.00882958402104484 0.00880756510827415 -0.00882958402104484
0	0	0 0 0	29 20 20	0	3.028125 0.5 0.5	0.0198659410195655 0.353172284792272 0.353172284792272 -0.00993297050978272 0.00990164109849452 -0.00993297050978272
0	0	0 0 0	30 20 20	0	3.03125 0.5 0.5	0.0220724883508881 0.353159813614209 0.353159813614209 -0.011036244175444 0.0109933015911038 -0.011036244175444
0	0	0 0 0	31 20 20	0	3.034375 0.5 0.5	0.024278781785798 0.353145916884336 0.353145916884336 -0.012139390892899 0.0120822832260882 -0.012139390892899
0	0	0 0 0	32 20 20	0	3.0375 0.5 0.5	0.0264847920836562 0.353130561115416 0.353130561115416 -0.0132423960418281 0.0131683242181013 -0.0132423960418281
0	0	0 0 0	33 20 20	0	3.040625 0.5 0.5	0.0286904889210232 0.353113709797209 0.353113709797209 -0.0143452444605116 0.0142511645073187 -0.0143452444605116
0	0	0 0 0	34 20 20	0	3.04375 0.5 0.5	0.0308958408010937 0.35309532344107 0.35309532344107 -0.0154479204005469 0.0153305459084354 -0.0154479204005469
0	0	0 0 0	35 20 20	0	3.046875 0.5 0.5	0.0331008149651343 0.353075359628099 0.353075359628099 -0.0165504074825671 0.0164062122576464 -0.0165504074825671
0	0	0 0 0	36 20 20	0	3.05 0.5 0.5	0.0353053773060768 0.35305377306077 0.35305377306077 -0.0176526886530384 0.0174779095574638 -0.0176526886530384
0	0	0 0 0	37 20 20	0	3.053125 0.5 0.5	0.0375094922844077 0.353030515617954 0.353030515617954 -0.0187547461422038 0.0185453861192174 -0.0187547461422038
0	0	0 0 0	38 20 20	0	3.05625 0.5 0.5	0.0397131228464908 0.353005536413252 0.353005536413252 -0.0198565614232454 0.0196083927030968 -0.0198565614232454
0	0	0 0 0	39 20 20	0	3.059375 0.5 0.5	0.0419162303454633 0.352978781856532 0.352978781856532 -0.0209581151727316 0.0206666826555961 -0.0209581151727316
0	0	0 0 0	40 20 20	0	3.0625 0.5 0.5	0.0441187744648232 0.352950195718585 0.352950195718585 -0.0220593872324116 0.0217200120442206 -0.0220593872324116


