# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 08:26:29+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1/1bh_p0.1_dx0.0015625_near/twopunfar_1bh_p0.1_dx0.0015625_near_50.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 20 0	0	5 5 4.9375	1.5490788510498 0 0 1.5490788510498 0 1.5490788510498
0	0	0 0 0	20 20 1	0	5 5 4.940625	1.54893319845231 0 0 1.54893319845231 0 1.54893319845231
0	0	0 0 0	20 20 2	0	5 5 4.94375	1.54878757399303 0 0 1.54878757399303 0 1.54878757399303
0	0	0 0 0	20 20 3	0	5 5 4.946875	1.54864197772847 0 0 1.54864197772847 0 1.54864197772847
0	0	0 0 0	20 20 4	0	5 5 4.95	1.54849640971499 0 0 1.54849640971499 0 1.54849640971499
0	0	0 0 0	20 20 5	0	5 5 4.953125	1.54835087000876 0 0 1.54835087000876 0 1.54835087000876
0	0	0 0 0	20 20 6	0	5 5 4.95625	1.54820535866582 0 0 1.54820535866582 0 1.54820535866582
0	0	0 0 0	20 20 7	0	5 5 4.959375	1.54805987574205 0 0 1.54805987574205 0 1.54805987574205
0	0	0 0 0	20 20 8	0	5 5 4.9625	1.54791442129317 0 0 1.54791442129317 0 1.54791442129317
0	0	0 0 0	20 20 9	0	5 5 4.965625	1.54776899537475 0 0 1.54776899537475 0 1.54776899537475
0	0	0 0 0	20 20 10	0	5 5 4.96875	1.54762359804219 0 0 1.54762359804219 0 1.54762359804219
0	0	0 0 0	20 20 11	0	5 5 4.971875	1.54747822935075 0 0 1.54747822935075 0 1.54747822935075
0	0	0 0 0	20 20 12	0	5 5 4.975	1.54733288935555 0 0 1.54733288935555 0 1.54733288935555
0	0	0 0 0	20 20 13	0	5 5 4.978125	1.54718757811151 0 0 1.54718757811151 0 1.54718757811151
0	0	0 0 0	20 20 14	0	5 5 4.98125	1.54704229567344 0 0 1.54704229567344 0 1.54704229567344
0	0	0 0 0	20 20 15	0	5 5 4.984375	1.54689704209598 0 0 1.54689704209598 0 1.54689704209598
0	0	0 0 0	20 20 16	0	5 5 4.9875	1.54675181743361 0 0 1.54675181743361 0 1.54675181743361
0	0	0 0 0	20 20 17	0	5 5 4.990625	1.54660662174066 0 0 1.54660662174066 0 1.54660662174066
0	0	0 0 0	20 20 18	0	5 5 4.99375	1.54646145507132 0 0 1.54646145507132 0 1.54646145507132
0	0	0 0 0	20 20 19	0	5 5 4.996875	1.54631631747961 0 0 1.54631631747961 0 1.54631631747961
0	0	0 0 0	20 20 20	0	5 5 5	1.54617120901941 0 0 1.54617120901941 0 1.54617120901941
0	0	0 0 0	20 20 21	0	5 5 5.003125	1.54602612974444 0 0 1.54602612974444 0 1.54602612974444
0	0	0 0 0	20 20 22	0	5 5 5.00625	1.54588107970827 0 0 1.54588107970827 0 1.54588107970827
0	0	0 0 0	20 20 23	0	5 5 5.009375	1.54573605896432 0 0 1.54573605896432 0 1.54573605896432
0	0	0 0 0	20 20 24	0	5 5 5.0125	1.54559106756585 0 0 1.54559106756585 0 1.54559106756585
0	0	0 0 0	20 20 25	0	5 5 5.015625	1.54544610556598 0 0 1.54544610556598 0 1.54544610556598
0	0	0 0 0	20 20 26	0	5 5 5.01875	1.54530117301768 0 0 1.54530117301768 0 1.54530117301768
0	0	0 0 0	20 20 27	0	5 5 5.021875	1.54515626997375 0 0 1.54515626997375 0 1.54515626997375
0	0	0 0 0	20 20 28	0	5 5 5.025	1.54501139648688 0 0 1.54501139648688 0 1.54501139648688
0	0	0 0 0	20 20 29	0	5 5 5.028125	1.54486655260955 0 0 1.54486655260955 0 1.54486655260955
0	0	0 0 0	20 20 30	0	5 5 5.03125	1.54472173839415 0 0 1.54472173839415 0 1.54472173839415
0	0	0 0 0	20 20 31	0	5 5 5.034375	1.54457695389289 0 0 1.54457695389289 0 1.54457695389289
0	0	0 0 0	20 20 32	0	5 5 5.0375	1.54443219915782 0 0 1.54443219915782 0 1.54443219915782
0	0	0 0 0	20 20 33	0	5 5 5.040625	1.54428747424086 0 0 1.54428747424086 0 1.54428747424086
0	0	0 0 0	20 20 34	0	5 5 5.04375	1.54414277919379 0 0 1.54414277919379 0 1.54414277919379
0	0	0 0 0	20 20 35	0	5 5 5.046875	1.5439981140682 0 0 1.5439981140682 0 1.5439981140682
0	0	0 0 0	20 20 36	0	5 5 5.05	1.54385347891559 0 0 1.54385347891559 0 1.54385347891559
0	0	0 0 0	20 20 37	0	5 5 5.053125	1.54370887378726 0 0 1.54370887378726 0 1.54370887378726
0	0	0 0 0	20 20 38	0	5 5 5.05625	1.54356429873439 0 0 1.54356429873439 0 1.54356429873439
0	0	0 0 0	20 20 39	0	5 5 5.059375	1.543419753808 0 0 1.543419753808 0 1.543419753808
0	0	0 0 0	20 20 40	0	5 5 5.0625	1.54327523905898 0 0 1.54327523905898 0 1.54327523905898


