# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 20 2016 at 05:35:51+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py/manybhnear_2bh_m1m2_0.47656_py_8x9x13.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	10 0 10	0	3 0.06875 0.1	0.00542637829911993
0	0	0 0 0	10 1 10	0	3 0.071875 0.1	0.00542637829911993
0	0	0 0 0	10 2 10	0	3 0.075 0.1	-8.06367585305667e-06
0	0	0 0 0	10 3 10	0	3 0.078125 0.1	-6.27589290561927e-06
0	0	0 0 0	10 4 10	0	3 0.08125 0.1	-4.9145542044245e-06
0	0	0 0 0	10 5 10	0	3 0.084375 0.1	-3.90488438600702e-06
0	0	0 0 0	10 6 10	0	3 0.0875 0.1	-3.18052824632253e-06
0	0	0 0 0	10 7 10	0	3 0.090625 0.1	-2.68357330779692e-06
0	0	0 0 0	10 8 10	0	3 0.09375 0.1	-2.36445855651647e-06
0	0	0 0 0	10 9 10	0	3 0.096875 0.1	-2.1811949008823e-06
0	0	0 0 0	10 10 10	0	3 0.1 0.1	-2.09901520801864e-06
0	0	0 0 0	10 11 10	0	3 0.103125 0.1	-2.08922048878027e-06
0	0	0 0 0	10 12 10	0	3 0.10625 0.1	-2.12897077013019e-06
0	0	0 0 0	10 13 10	0	3 0.109375 0.1	-2.19993845068569e-06
0	0	0 0 0	10 14 10	0	3 0.1125 0.1	-2.28798709545888e-06
0	0	0 0 0	10 15 10	0	3 0.115625 0.1	-2.38234422203758e-06
0	0	0 0 0	10 16 10	0	3 0.11875 0.1	-2.47512203920648e-06
0	0	0 0 0	10 17 10	0	3 0.121875 0.1	-2.5606934763037e-06
0	0	0 0 0	10 18 10	0	3 0.125 0.1	-2.63521551399463e-06
0	0	0 0 0	10 19 10	0	3 0.128125 0.1	0.00264404923919107
0	0	0 0 0	10 20 10	0	3 0.13125 0.1	0.00264404923919107


