# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:41:48+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/twopunfar_1bh_p0.5_nos_30.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 20 0	0	5 5 4.9375	1.5786150980482 0 0 1.5786150980482 0 1.5786150980482
0	0	0 0 0	20 20 1	0	5 5 4.940625	1.57846046059935 0 0 1.57846046059935 0 1.57846046059935
0	0	0 0 0	20 20 2	0	5 5 4.94375	1.5783058535811 0 0 1.5783058535811 0 1.5783058535811
0	0	0 0 0	20 20 3	0	5 5 4.946875	1.57815127705334 0 0 1.57815127705334 0 1.57815127705334
0	0	0 0 0	20 20 4	0	5 5 4.95	1.57799673107578 0 0 1.57799673107578 0 1.57799673107578
0	0	0 0 0	20 20 5	0	5 5 4.953125	1.57784221570797 0 0 1.57784221570797 0 1.57784221570797
0	0	0 0 0	20 20 6	0	5 5 4.95625	1.5776877310093 0 0 1.5776877310093 0 1.5776877310093
0	0	0 0 0	20 20 7	0	5 5 4.959375	1.57753327703898 0 0 1.57753327703898 0 1.57753327703898
0	0	0 0 0	20 20 8	0	5 5 4.9625	1.57737885385607 0 0 1.57737885385607 0 1.57737885385607
0	0	0 0 0	20 20 9	0	5 5 4.965625	1.57722446151944 0 0 1.57722446151944 0 1.57722446151944
0	0	0 0 0	20 20 10	0	5 5 4.96875	1.57707010008781 0 0 1.57707010008781 0 1.57707010008781
0	0	0 0 0	20 20 11	0	5 5 4.971875	1.57691576961973 0 0 1.57691576961973 0 1.57691576961973
0	0	0 0 0	20 20 12	0	5 5 4.975	1.5767614701736 0 0 1.5767614701736 0 1.5767614701736
0	0	0 0 0	20 20 13	0	5 5 4.978125	1.57660720180764 0 0 1.57660720180764 0 1.57660720180764
0	0	0 0 0	20 20 14	0	5 5 4.98125	1.5764529645799 0 0 1.5764529645799 0 1.5764529645799
0	0	0 0 0	20 20 15	0	5 5 4.984375	1.57629875854828 0 0 1.57629875854828 0 1.57629875854828
0	0	0 0 0	20 20 16	0	5 5 4.9875	1.5761445837705 0 0 1.5761445837705 0 1.5761445837705
0	0	0 0 0	20 20 17	0	5 5 4.990625	1.57599044030414 0 0 1.57599044030414 0 1.57599044030414
0	0	0 0 0	20 20 18	0	5 5 4.99375	1.5758363282066 0 0 1.5758363282066 0 1.5758363282066
0	0	0 0 0	20 20 19	0	5 5 4.996875	1.5756822475351 0 0 1.5756822475351 0 1.5756822475351
0	0	0 0 0	20 20 20	0	5 5 5	1.57552819834674 0 0 1.57552819834674 0 1.57552819834674
0	0	0 0 0	20 20 21	0	5 5 5.003125	1.57537418069842 0 0 1.57537418069842 0 1.57537418069842
0	0	0 0 0	20 20 22	0	5 5 5.00625	1.5752201946469 0 0 1.5752201946469 0 1.5752201946469
0	0	0 0 0	20 20 23	0	5 5 5.009375	1.57506624024876 0 0 1.57506624024876 0 1.57506624024876
0	0	0 0 0	20 20 24	0	5 5 5.0125	1.57491231756043 0 0 1.57491231756043 0 1.57491231756043
0	0	0 0 0	20 20 25	0	5 5 5.015625	1.57475842663817 0 0 1.57475842663817 0 1.57475842663817
0	0	0 0 0	20 20 26	0	5 5 5.01875	1.57460456753809 0 0 1.57460456753809 0 1.57460456753809
0	0	0 0 0	20 20 27	0	5 5 5.021875	1.57445074031614 0 0 1.57445074031614 0 1.57445074031614
0	0	0 0 0	20 20 28	0	5 5 5.025	1.57429694502808 0 0 1.57429694502808 0 1.57429694502808
0	0	0 0 0	20 20 29	0	5 5 5.028125	1.57414318172955 0 0 1.57414318172955 0 1.57414318172955
0	0	0 0 0	20 20 30	0	5 5 5.03125	1.57398945047601 0 0 1.57398945047601 0 1.57398945047601
0	0	0 0 0	20 20 31	0	5 5 5.034375	1.57383575132275 0 0 1.57383575132275 0 1.57383575132275
0	0	0 0 0	20 20 32	0	5 5 5.0375	1.57368208432492 0 0 1.57368208432492 0 1.57368208432492
0	0	0 0 0	20 20 33	0	5 5 5.040625	1.5735284495375 0 0 1.5735284495375 0 1.5735284495375
0	0	0 0 0	20 20 34	0	5 5 5.04375	1.57337484701532 0 0 1.57337484701532 0 1.57337484701532
0	0	0 0 0	20 20 35	0	5 5 5.046875	1.57322127681303 0 0 1.57322127681303 0 1.57322127681303
0	0	0 0 0	20 20 36	0	5 5 5.05	1.57306773898514 0 0 1.57306773898514 0 1.57306773898514
0	0	0 0 0	20 20 37	0	5 5 5.053125	1.572914233586 0 0 1.572914233586 0 1.572914233586
0	0	0 0 0	20 20 38	0	5 5 5.05625	1.5727607606698 0 0 1.5727607606698 0 1.5727607606698
0	0	0 0 0	20 20 39	0	5 5 5.059375	1.57260732029056 0 0 1.57260732029056 0 1.57260732029056
0	0	0 0 0	20 20 40	0	5 5 5.0625	1.57245391250217 0 0 1.57245391250217 0 1.57245391250217


