# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 05:45:04+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.3_NoS/1bh_p0.3_nos/twopunnear_1bh_p0.3_nos_20.par"
#
# ADMBASE::CURV z (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	0 0.226080116435009 0.197820101880633 0 0 0
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	0 0.224557080725554 0.197890927389394 0 0 0
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	0 0.223041936243605 0.1979497184162 0 0 0
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	0 0.221534741661742 0.197996675360182 0 0 0
0	0	0 0 0	20 20 4	0	3 0.5 0.45	0 0.220035552270969 0.198031997043872 0 0 0
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	0 0.218544420056415 0.198055880676126 0 0 0
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	0 0.217061393772405 0.19806852181732 0 0 0
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	0 0.215586519016883 0.198070114346761 0 0 0
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	0 0.214119838305129 0.198060850432244 0 0 0
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	0 0.212661391142757 0.198040920501692 0 0 0
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	0 0.211211214097946 0.198010513216825 0 0 0
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	0 0.209769340872893 0.197969815448793 0 0 0
0	0	0 0 0	20 20 12	0	3 0.5 0.475	0 0.208335802374436 0.197919012255714 0 0 0
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	0 0.206910626783852 0.197858286862058 0 0 0
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	0 0.205493839625783 0.197787820639817 0 0 0
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	0 0.204085463836289 0.197707793091405 0 0 0
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	0 0.202685519829986 0.197618381834237 0 0 0
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	0 0.201294025566282 0.197519762586914 0 0 0
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	0 0.199910996614669 0.197412109156986 0 0 0
0	0	0 0 0	20 20 19	0	3 0.5 0.496875	0 0.198536446219074 0.197295593430204 0 0 0
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0 0.197170385361248 0.197170385361248 0 0 0
0	0	0 0 0	20 20 21	0	3 0.5 0.503125	0 0.195812822823198 0.197036652965843 0 0 0
0	0	0 0 0	20 20 22	0	3 0.5 0.50625	0 0.194463765248622 0.19689456231423 0 0 0
0	0	0 0 0	20 20 23	0	3 0.5 0.509375	0 0.193123217203385 0.196744277525948 0 0 0
0	0	0 0 0	20 20 24	0	3 0.5 0.5125	0 0.191791181234983 0.196585960765857 0 0 0
0	0	0 0 0	20 20 25	0	3 0.5 0.515625	0 0.190467657931026 0.196419772241371 0 0 0
0	0	0 0 0	20 20 26	0	3 0.5 0.51875	0 0.189152645976722 0.196245870200849 0 0 0
0	0	0 0 0	20 20 27	0	3 0.5 0.521875	0 0.187846142211352 0.196064410933098 0 0 0
0	0	0 0 0	20 20 28	0	3 0.5 0.525	0 0.186548141683754 0.195875548767942 0 0 0
0	0	0 0 0	20 20 29	0	3 0.5 0.528125	0 0.185258637706801 0.195679436077809 0 0 0
0	0	0 0 0	20 20 30	0	3 0.5 0.53125	0 0.183977621910877 0.195476223280307 0 0 0
0	0	0 0 0	20 20 31	0	3 0.5 0.534375	0 0.182705084296358 0.195266058841732 0 0 0
0	0	0 0 0	20 20 32	0	3 0.5 0.5375	0 0.181441013285092 0.195049089281474 0 0 0
0	0	0 0 0	20 20 33	0	3 0.5 0.540625	0 0.180185395770894 0.194825459177279 0 0 0
0	0	0 0 0	20 20 34	0	3 0.5 0.54375	0 0.178938217169044 0.194595311171336 0 0 0
0	0	0 0 0	20 20 35	0	3 0.5 0.546875	0 0.177699461464809 0.194358785977135 0 0 0
0	0	0 0 0	20 20 36	0	3 0.5 0.55	0 0.176469111260982 0.194116022387081 0 0 0
0	0	0 0 0	20 20 37	0	3 0.5 0.553125	0 0.175247147824456 0.193867157280805 0 0 0
0	0	0 0 0	20 20 38	0	3 0.5 0.55625	0 0.174033551131829 0.193612325634159 0 0 0
0	0	0 0 0	20 20 39	0	3 0.5 0.559375	0 0.172828299914052 0.193351660528845 0 0 0
0	0	0 0 0	20 20 40	0	3 0.5 0.5625	0 0.171631371700136 0.193085293162653 0 0 0


