# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 22 2016 at 23:45:46+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx0.3/manybhnear_2bh_m1m2_0.47656_py_sx0.3_40x41x49.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 10 10	0	2.96875 0.1 0.1	0.00244604251727343
0	0	0 0 0	1 10 10	0	2.971875 0.1 0.1	0.00244604251727343
0	0	0 0 0	2 10 10	0	2.975 0.1 0.1	1.27487621615074e-06
0	0	0 0 0	3 10 10	0	2.978125 0.1 0.1	7.36437646087218e-07
0	0	0 0 0	4 10 10	0	2.98125 0.1 0.1	2.35482244426155e-07
0	0	0 0 0	5 10 10	0	2.984375 0.1 0.1	-2.16658032459183e-07
0	0	0 0 0	6 10 10	0	2.9875 0.1 0.1	-6.09590318501052e-07
0	0	0 0 0	7 10 10	0	2.990625 0.1 0.1	-9.34171107525028e-07
0	0	0 0 0	8 10 10	0	2.99375 0.1 0.1	-1.18293834694416e-06
0	0	0 0 0	9 10 10	0	2.996875 0.1 0.1	-1.35035068421496e-06
0	0	0 0 0	10 10 10	0	3 0.1 0.1	-1.43306724298409e-06
0	0	0 0 0	11 10 10	0	3.003125 0.1 0.1	-1.42996892876779e-06
0	0	0 0 0	12 10 10	0	3.00625 0.1 0.1	-1.34240355387227e-06
0	0	0 0 0	13 10 10	0	3.009375 0.1 0.1	-1.17395069637594e-06
0	0	0 0 0	14 10 10	0	3.0125 0.1 0.1	-9.30349769723282e-07
0	0	0 0 0	15 10 10	0	3.015625 0.1 0.1	-6.19346049224312e-07
0	0	0 0 0	16 10 10	0	3.01875 0.1 0.1	-2.50303758275727e-07
0	0	0 0 0	17 10 10	0	3.021875 0.1 0.1	1.66140931956438e-07
0	0	0 0 0	18 10 10	0	3.025 0.1 0.1	6.18441215627374e-07
0	0	0 0 0	19 10 10	0	3.028125 0.1 0.1	0.00244607839885186
0	0	0 0 0	20 10 10	0	3.03125 0.1 0.1	0.00244607839885186


