# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 22 2016 at 19:49:45+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx0.3/twopunnear_2bh_m1m2_0.47656_py_sx0.3_60.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 10 10	0	2.96875 0.1 0.1	0.00244565168261912
0	0	0 0 0	1 10 10	0	2.971875 0.1 0.1	0.00244565168261912
0	0	0 0 0	2 10 10	0	2.975 0.1 0.1	9.28626622986872e-07
0	0	0 0 0	3 10 10	0	2.978125 0.1 0.1	4.34253747683133e-07
0	0	0 0 0	4 10 10	0	2.98125 0.1 0.1	-2.36473124415326e-08
0	0	0 0 0	5 10 10	0	2.984375 0.1 0.1	-4.33662365184606e-07
0	0	0 0 0	6 10 10	0	2.9875 0.1 0.1	-7.85225738542117e-07
0	0	0 0 0	7 10 10	0	2.990625 0.1 0.1	-1.06909650338105e-06
0	0	0 0 0	8 10 10	0	2.99375 0.1 0.1	-1.27768330138167e-06
0	0	0 0 0	9 10 10	0	2.996875 0.1 0.1	-1.40527421793601e-06
0	0	0 0 0	10 10 10	0	3 0.1 0.1	-1.44840990096151e-06
0	0	0 0 0	11 10 10	0	3.003125 0.1 0.1	-1.40583524466109e-06
0	0	0 0 0	12 10 10	0	3.00625 0.1 0.1	-1.27876105859848e-06
0	0	0 0 0	13 10 10	0	3.009375 0.1 0.1	-1.0705986074333e-06
0	0	0 0 0	14 10 10	0	3.0125 0.1 0.1	-7.8703966194249e-07
0	0	0 0 0	15 10 10	0	3.015625 0.1 0.1	-4.35596724523979e-07
0	0	0 0 0	16 10 10	0	3.01875 0.1 0.1	-2.55475673949235e-08
0	0	0 0 0	17 10 10	0	3.021875 0.1 0.1	4.32619521373301e-07
0	0	0 0 0	18 10 10	0	3.025 0.1 0.1	9.27427538488512e-07
0	0	0 0 0	19 10 10	0	3.028125 0.1 0.1	0.00244643093959646
0	0	0 0 0	20 10 10	0	3.03125 0.1 0.1	0.00244643093959646


