# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 21 2016 at 07:45:03+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py0.2245/manybhnear_2bh_m1m2_0.47656_py0.2245_24x25x33.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	10 0 10	0	3 0.06875 0.1	0.00523849800659073
0	0	0 0 0	10 1 10	0	3 0.071875 0.1	0.00523849800659073
0	0	0 0 0	10 2 10	0	3 0.075 0.1	-7.78457327471312e-06
0	0	0 0 0	10 3 10	0	3 0.078125 0.1	-6.05710896801502e-06
0	0	0 0 0	10 4 10	0	3 0.08125 0.1	-4.73951476031957e-06
0	0	0 0 0	10 5 10	0	3 0.084375 0.1	-3.759685956394e-06
0	0	0 0 0	10 6 10	0	3 0.0875 0.1	-3.05362708937894e-06
0	0	0 0 0	10 7 10	0	3 0.090625 0.1	-2.56553294820158e-06
0	0	0 0 0	10 8 10	0	3 0.09375 0.1	-2.24771878460425e-06
0	0	0 0 0	10 9 10	0	3 0.096875 0.1	-2.05978027942918e-06
0	0	0 0 0	10 10 10	0	3 0.1 0.1	-1.96832315910254e-06
0	0	0 0 0	10 11 10	0	3 0.103125 0.1	-1.94579803653155e-06
0	0	0 0 0	10 12 10	0	3 0.10625 0.1	-1.97025467069383e-06
0	0	0 0 0	10 13 10	0	3 0.109375 0.1	-2.02418889188975e-06
0	0	0 0 0	10 14 10	0	3 0.1125 0.1	-2.09402681252205e-06
0	0	0 0 0	10 15 10	0	3 0.115625 0.1	-2.16953362349934e-06
0	0	0 0 0	10 16 10	0	3 0.11875 0.1	-2.24312727910986e-06
0	0	0 0 0	10 17 10	0	3 0.121875 0.1	-2.30944656879999e-06
0	0	0 0 0	10 18 10	0	3 0.125 0.1	-2.36480937198733e-06
0	0	0 0 0	10 19 10	0	3 0.128125 0.1	0.00253872926983834
0	0	0 0 0	10 20 10	0	3 0.13125 0.1	0.00253872926983834


