# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 07:54:57+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.3/1bh_p0.3_dx0.0015625_near/twopunfar_1bh_p0.3_dx0.0015625_near_20.par"
#
# ADMBASE::METRIC y (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 0 20	0	5 4.9375 5	1.55920601842646 0 0 1.55920601842646 0 1.55920601842646
0	0	0 0 0	20 1 20	0	5 4.940625 5	1.55905728387303 0 0 1.55905728387303 0 1.55905728387303
0	0	0 0 0	20 2 20	0	5 4.94375 5	1.55890857824434 0 0 1.55890857824434 0 1.55890857824434
0	0	0 0 0	20 3 20	0	5 4.946875 5	1.55875990159805 0 0 1.55875990159805 0 1.55875990159805
0	0	0 0 0	20 4 20	0	5 4.95 5	1.55861125399166 0 0 1.55861125399166 0 1.55861125399166
0	0	0 0 0	20 5 20	0	5 4.953125 5	1.55846263548251 0 0 1.55846263548251 0 1.55846263548251
0	0	0 0 0	20 6 20	0	5 4.95625 5	1.55831404612778 0 0 1.55831404612778 0 1.55831404612778
0	0	0 0 0	20 7 20	0	5 4.959375 5	1.55816548598451 0 0 1.55816548598451 0 1.55816548598451
0	0	0 0 0	20 8 20	0	5 4.9625 5	1.55801695510955 0 0 1.55801695510955 0 1.55801695510955
0	0	0 0 0	20 9 20	0	5 4.965625 5	1.5578684535596 0 0 1.5578684535596 0 1.5578684535596
0	0	0 0 0	20 10 20	0	5 4.96875 5	1.55771998139122 0 0 1.55771998139122 0 1.55771998139122
0	0	0 0 0	20 11 20	0	5 4.971875 5	1.55757153866078 0 0 1.55757153866078 0 1.55757153866078
0	0	0 0 0	20 12 20	0	5 4.975 5	1.55742312542452 0 0 1.55742312542452 0 1.55742312542452
0	0	0 0 0	20 13 20	0	5 4.978125 5	1.55727474173851 0 0 1.55727474173851 0 1.55727474173851
0	0	0 0 0	20 14 20	0	5 4.98125 5	1.55712638765867 0 0 1.55712638765867 0 1.55712638765867
0	0	0 0 0	20 15 20	0	5 4.984375 5	1.55697806324074 0 0 1.55697806324074 0 1.55697806324074
0	0	0 0 0	20 16 20	0	5 4.9875 5	1.55682976854032 0 0 1.55682976854032 0 1.55682976854032
0	0	0 0 0	20 17 20	0	5 4.990625 5	1.55668150361287 0 0 1.55668150361287 0 1.55668150361287
0	0	0 0 0	20 18 20	0	5 4.99375 5	1.55653326851366 0 0 1.55653326851366 0 1.55653326851366
0	0	0 0 0	20 19 20	0	5 4.996875 5	1.55638506329782 0 0 1.55638506329782 0 1.55638506329782
0	0	0 0 0	20 20 20	0	5 5 5	1.55623688802033 0 0 1.55623688802033 0 1.55623688802033
0	0	0 0 0	20 21 20	0	5 5.003125 5	1.55608874273601 0 0 1.55608874273601 0 1.55608874273601
0	0	0 0 0	20 22 20	0	5 5.00625 5	1.5559406274995 0 0 1.5559406274995 0 1.5559406274995
0	0	0 0 0	20 23 20	0	5 5.009375 5	1.55579254236533 0 0 1.55579254236533 0 1.55579254236533
0	0	0 0 0	20 24 20	0	5 5.0125 5	1.55564448738784 0 0 1.55564448738784 0 1.55564448738784
0	0	0 0 0	20 25 20	0	5 5.015625 5	1.55549646262122 0 0 1.55549646262122 0 1.55549646262122
0	0	0 0 0	20 26 20	0	5 5.01875 5	1.55534846811953 0 0 1.55534846811953 0 1.55534846811953
0	0	0 0 0	20 27 20	0	5 5.021875 5	1.55520050393664 0 0 1.55520050393664 0 1.55520050393664
0	0	0 0 0	20 28 20	0	5 5.025 5	1.55505257012629 0 0 1.55505257012629 0 1.55505257012629
0	0	0 0 0	20 29 20	0	5 5.028125 5	1.55490466674206 0 0 1.55490466674206 0 1.55490466674206
0	0	0 0 0	20 30 20	0	5 5.03125 5	1.55475679383737 0 0 1.55475679383737 0 1.55475679383737
0	0	0 0 0	20 31 20	0	5 5.034375 5	1.5546089514655 0 0 1.5546089514655 0 1.5546089514655
0	0	0 0 0	20 32 20	0	5 5.0375 5	1.55446113967958 0 0 1.55446113967958 0 1.55446113967958
0	0	0 0 0	20 33 20	0	5 5.040625 5	1.55431335853255 0 0 1.55431335853255 0 1.55431335853255
0	0	0 0 0	20 34 20	0	5 5.04375 5	1.55416560807725 0 0 1.55416560807725 0 1.55416560807725
0	0	0 0 0	20 35 20	0	5 5.046875 5	1.55401788836632 0 0 1.55401788836632 0 1.55401788836632
0	0	0 0 0	20 36 20	0	5 5.05 5	1.55387019945229 0 0 1.55387019945229 0 1.55387019945229
0	0	0 0 0	20 37 20	0	5 5.053125 5	1.55372254138751 0 0 1.55372254138751 0 1.55372254138751
0	0	0 0 0	20 38 20	0	5 5.05625 5	1.55357491422419 0 0 1.55357491422419 0 1.55357491422419
0	0	0 0 0	20 39 20	0	5 5.059375 5	1.55342731801438 0 0 1.55342731801438 0 1.55342731801438
0	0	0 0 0	20 40 20	0	5 5.0625 5	1.55327975280999 0 0 1.55327975280999 0 1.55327975280999


