# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:34:57+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.1_NoS/1bh_p0.1_nos/twopunfar_1bh_p0.1_nos_40.par"
#
# ADMBASE::METRIC y (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 0 20	0	5 4.9375 5	1.54907885104984 0 0 1.54907885104984 0 1.54907885104984
0	0	0 0 0	20 1 20	0	5 4.940625 5	1.54893319845234 0 0 1.54893319845234 0 1.54893319845234
0	0	0 0 0	20 2 20	0	5 4.94375 5	1.54878757399306 0 0 1.54878757399306 0 1.54878757399306
0	0	0 0 0	20 3 20	0	5 4.946875 5	1.54864197772851 0 0 1.54864197772851 0 1.54864197772851
0	0	0 0 0	20 4 20	0	5 4.95 5	1.54849640971502 0 0 1.54849640971502 0 1.54849640971502
0	0	0 0 0	20 5 20	0	5 4.953125 5	1.54835087000879 0 0 1.54835087000879 0 1.54835087000879
0	0	0 0 0	20 6 20	0	5 4.95625 5	1.54820535866586 0 0 1.54820535866586 0 1.54820535866586
0	0	0 0 0	20 7 20	0	5 4.959375 5	1.54805987574208 0 0 1.54805987574208 0 1.54805987574208
0	0	0 0 0	20 8 20	0	5 4.9625 5	1.5479144212932 0 0 1.5479144212932 0 1.5479144212932
0	0	0 0 0	20 9 20	0	5 4.965625 5	1.54776899537478 0 0 1.54776899537478 0 1.54776899537478
0	0	0 0 0	20 10 20	0	5 4.96875 5	1.54762359804222 0 0 1.54762359804222 0 1.54762359804222
0	0	0 0 0	20 11 20	0	5 4.971875 5	1.54747822935079 0 0 1.54747822935079 0 1.54747822935079
0	0	0 0 0	20 12 20	0	5 4.975 5	1.54733288935558 0 0 1.54733288935558 0 1.54733288935558
0	0	0 0 0	20 13 20	0	5 4.978125 5	1.54718757811154 0 0 1.54718757811154 0 1.54718757811154
0	0	0 0 0	20 14 20	0	5 4.98125 5	1.54704229567347 0 0 1.54704229567347 0 1.54704229567347
0	0	0 0 0	20 15 20	0	5 4.984375 5	1.54689704209601 0 0 1.54689704209601 0 1.54689704209601
0	0	0 0 0	20 16 20	0	5 4.9875 5	1.54675181743364 0 0 1.54675181743364 0 1.54675181743364
0	0	0 0 0	20 17 20	0	5 4.990625 5	1.54660662174069 0 0 1.54660662174069 0 1.54660662174069
0	0	0 0 0	20 18 20	0	5 4.99375 5	1.54646145507135 0 0 1.54646145507135 0 1.54646145507135
0	0	0 0 0	20 19 20	0	5 4.996875 5	1.54631631747965 0 0 1.54631631747965 0 1.54631631747965
0	0	0 0 0	20 20 20	0	5 5 5	1.54617120901944 0 0 1.54617120901944 0 1.54617120901944
0	0	0 0 0	20 21 20	0	5 5.003125 5	1.54602612974447 0 0 1.54602612974447 0 1.54602612974447
0	0	0 0 0	20 22 20	0	5 5.00625 5	1.5458810797083 0 0 1.5458810797083 0 1.5458810797083
0	0	0 0 0	20 23 20	0	5 5.009375 5	1.54573605896435 0 0 1.54573605896435 0 1.54573605896435
0	0	0 0 0	20 24 20	0	5 5.0125 5	1.54559106756588 0 0 1.54559106756588 0 1.54559106756588
0	0	0 0 0	20 25 20	0	5 5.015625 5	1.54544610556601 0 0 1.54544610556601 0 1.54544610556601
0	0	0 0 0	20 26 20	0	5 5.01875 5	1.54530117301771 0 0 1.54530117301771 0 1.54530117301771
0	0	0 0 0	20 27 20	0	5 5.021875 5	1.54515626997378 0 0 1.54515626997378 0 1.54515626997378
0	0	0 0 0	20 28 20	0	5 5.025 5	1.54501139648691 0 0 1.54501139648691 0 1.54501139648691
0	0	0 0 0	20 29 20	0	5 5.028125 5	1.54486655260958 0 0 1.54486655260958 0 1.54486655260958
0	0	0 0 0	20 30 20	0	5 5.03125 5	1.54472173839418 0 0 1.54472173839418 0 1.54472173839418
0	0	0 0 0	20 31 20	0	5 5.034375 5	1.54457695389292 0 0 1.54457695389292 0 1.54457695389292
0	0	0 0 0	20 32 20	0	5 5.0375 5	1.54443219915785 0 0 1.54443219915785 0 1.54443219915785
0	0	0 0 0	20 33 20	0	5 5.040625 5	1.54428747424089 0 0 1.54428747424089 0 1.54428747424089
0	0	0 0 0	20 34 20	0	5 5.04375 5	1.54414277919381 0 0 1.54414277919381 0 1.54414277919381
0	0	0 0 0	20 35 20	0	5 5.046875 5	1.54399811406823 0 0 1.54399811406823 0 1.54399811406823
0	0	0 0 0	20 36 20	0	5 5.05 5	1.54385347891562 0 0 1.54385347891562 0 1.54385347891562
0	0	0 0 0	20 37 20	0	5 5.053125 5	1.54370887378729 0 0 1.54370887378729 0 1.54370887378729
0	0	0 0 0	20 38 20	0	5 5.05625 5	1.54356429873442 0 0 1.54356429873442 0 1.54356429873442
0	0	0 0 0	20 39 20	0	5 5.059375 5	1.54341975380803 0 0 1.54341975380803 0 1.54341975380803
0	0	0 0 0	20 40 20	0	5 5.0625 5	1.543275239059 0 0 1.543275239059 0 1.543275239059


